timestamp,client_id,operation,target,first_seq,second_seq,max_visible_seq,missing_before_max,missing_count,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1789719056.201102,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,1,2,0,,0,local,1,False,normal_codexrun,14.89,True,False,
1789719056.2090409,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,3,4,0,,0,local,1,False,normal_codexrun,7.91,True,False,
1789719056.210068,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,5,6,0,,0,local,1,False,normal_codexrun,1.02,True,False,
1789719056.210907,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,7,8,0,,0,local,1,False,normal_codexrun,0.83,True,False,
1789719056.211621,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,9,10,0,,0,local,1,False,normal_codexrun,0.71,True,False,
1789719056.212319,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,11,12,0,,0,local,1,False,normal_codexrun,0.69,True,False,
1789719056.212982,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,13,14,0,,0,local,1,False,normal_codexrun,0.66,True,False,
1789719056.2136781,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,15,16,0,,0,local,1,False,normal_codexrun,0.69,True,False,
1789719056.2146392,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,17,18,0,,0,local,1,False,normal_codexrun,0.96,True,False,
1789719056.21548,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,19,20,0,,0,local,1,False,normal_codexrun,0.83,True,False,
1789719056.216149,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,21,22,0,,0,local,1,False,normal_codexrun,0.66,True,False,
1789719056.216794,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,23,24,0,,0,local,1,False,normal_codexrun,0.64,True,False,
1789719056.217355,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,25,26,0,,0,local,1,False,normal_codexrun,0.56,True,False,
1789719056.217962,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,27,28,0,,0,local,1,False,normal_codexrun,0.6,True,False,
1789719056.2185469,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,29,30,0,,0,local,1,False,normal_codexrun,0.58,True,False,
