timestamp,iteration,client_id,operation,target,prerequisite_id,dependent_id,client_b_read_v1,v1_visible_on_observer,v2_visible_on_observer,read_concern,write_concern,causal_session,scenario,scenario_event,target_node,event_time,latency_ms,success,violation,error
1789630928.46052,1,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:1,v2:1,True,True,True,majority,majority,True,partition,,,,14.37,True,False,
1789630928.4675403,2,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:2,v2:2,True,True,True,majority,majority,True,partition,,,,7.0,True,False,
1789630928.473896,3,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:3,v2:3,True,True,True,majority,majority,True,partition,,,,6.34,True,False,
1789630928.479159,4,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:4,v2:4,True,True,True,majority,majority,True,partition,,,,5.25,True,False,
1789630928.4841514,5,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:5,v2:5,True,True,True,majority,majority,True,partition,,,,4.98,True,False,
1789630928.4881501,6,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:6,v2:6,True,True,True,majority,majority,True,partition,,,,3.99,True,False,
1789630928.4928045,7,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:7,v2:7,True,True,True,majority,majority,True,partition,,,,4.65,True,False,
1789630928.4965606,8,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:8,v2:8,True,True,True,majority,majority,True,partition,,,,3.75,True,False,
1789630928.4998763,9,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:9,v2:9,True,True,True,majority,majority,True,partition,,,,3.31,True,False,
1789630928.5026176,10,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:10,v2:10,True,True,True,majority,majority,True,partition,,,,2.74,True,False,
1789630928.5056565,11,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:11,v2:11,True,True,True,majority,majority,True,partition,,,,3.04,True,False,
1789630928.5079985,12,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:12,v2:12,True,True,True,majority,majority,True,partition,,,,2.34,True,False,
1789630928.510438,13,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:13,v2:13,True,True,True,majority,majority,True,partition,,,,2.43,True,False,
1789630928.5127783,14,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:14,v2:14,True,True,True,majority,majority,True,partition,,,,2.34,True,False,
1789630928.5162823,15,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:15,v2:15,True,True,True,majority,majority,True,partition,,,,3.5,True,False,
1789630928.5186207,16,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:16,v2:16,True,True,True,majority,majority,True,partition,,,,2.33,True,False,
1789630928.5205586,17,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:17,v2:17,True,True,True,majority,majority,True,partition,,,,1.93,True,False,
1789630928.523172,18,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:18,v2:18,True,True,True,majority,majority,True,partition,,,,2.61,True,False,
1789630928.5257125,19,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:19,v2:19,True,True,True,majority,majority,True,partition,,,,2.54,True,False,
1789630928.527769,20,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:20,v2:20,True,True,True,majority,majority,True,partition,,,,2.05,True,False,
1789630928.5301127,21,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:21,v2:21,True,True,True,majority,majority,True,partition,,,,2.34,True,False,
