timestamp,iteration,client_id,operation,target,prerequisite_id,dependent_id,client_b_read_v1,v1_visible_on_observer,v2_visible_on_observer,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1789476652.4398859,1,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:1,v2:1,True,True,True,majority,majority,True,normal,9.7,True,False,
1789476652.4460151,2,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:2,v2:2,True,True,True,majority,majority,True,normal,6.12,True,False,
1789476652.45271,3,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:3,v2:3,True,True,True,majority,majority,True,normal,6.69,True,False,
1789476652.4585035,4,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:4,v2:4,True,True,True,majority,majority,True,normal,5.78,True,False,
1789476652.4628851,5,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:5,v2:5,True,True,True,majority,majority,True,normal,4.37,True,False,
1789476652.4673796,6,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:6,v2:6,True,True,True,majority,majority,True,normal,4.49,True,False,
1789476652.471401,7,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:7,v2:7,True,True,True,majority,majority,True,normal,4.01,True,False,
1789476652.4754064,8,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:8,v2:8,True,True,True,majority,majority,True,normal,4.0,True,False,
1789476652.4790916,9,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:9,v2:9,True,True,True,majority,majority,True,normal,3.68,True,False,
1789476652.4831429,10,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:10,v2:10,True,True,True,majority,majority,True,normal,4.05,True,False,
1789476652.486811,11,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:11,v2:11,True,True,True,majority,majority,True,normal,3.66,True,False,
1789476652.490943,12,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:12,v2:12,True,True,True,majority,majority,True,normal,4.13,True,False,
