timestamp,client_id,operation,target,first_seq,second_seq,max_visible_seq,missing_before_max,missing_count,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1789719077.337755,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,1,2,2,,0,majority,majority,True,normal_codexrun,27.2,True,False,
1789719077.361835,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,3,4,4,,0,majority,majority,True,normal_codexrun,24.05,True,False,
1789719077.3878558,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,5,6,6,,0,majority,majority,True,normal_codexrun,26.01,True,False,
1789719077.408875,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,7,8,8,,0,majority,majority,True,normal_codexrun,21.01,True,False,
1789719077.43773,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,9,10,10,,0,majority,majority,True,normal_codexrun,28.84,True,False,
1789719077.457005,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,11,12,12,,0,majority,majority,True,normal_codexrun,19.26,True,False,
1789719077.4746828,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,13,14,14,,0,majority,majority,True,normal_codexrun,17.66,True,False,
1789719077.4978628,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,15,16,16,,0,majority,majority,True,normal_codexrun,23.17,True,False,
1789719077.519808,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,17,18,18,,0,majority,majority,True,normal_codexrun,21.93,True,False,
1789719077.537668,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,19,20,20,,0,majority,majority,True,normal_codexrun,17.85,True,False,
1789719077.5628312,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,21,22,22,,0,majority,majority,True,normal_codexrun,25.15,True,False,
1789719077.586,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,23,24,24,,0,majority,majority,True,normal_codexrun,23.16,True,False,
1789719077.60917,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,25,26,26,,0,majority,majority,True,normal_codexrun,23.16,True,False,
1789719077.642076,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,27,28,28,,0,majority,majority,True,normal_codexrun,32.89,True,False,
1789719077.6650848,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,29,30,30,,0,majority,majority,True,normal_codexrun,22.99,True,False,
1789719077.691232,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,31,32,32,,0,majority,majority,True,normal_codexrun,26.13,True,False,
1789719077.7228532,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,33,34,34,,0,majority,majority,True,normal_codexrun,31.61,True,False,
1789719077.745044,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,35,36,36,,0,majority,majority,True,normal_codexrun,22.18,True,False,
1789719077.769075,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,37,38,38,,0,majority,majority,True,normal_codexrun,24.02,True,False,
1789719077.792376,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,39,40,40,,0,majority,majority,True,normal_codexrun,23.29,True,False,
1789719077.824259,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,41,42,42,,0,majority,majority,True,normal_codexrun,31.87,True,False,
1789719077.846018,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,43,44,44,,0,majority,majority,True,normal_codexrun,21.74,True,False,
1789719077.876019,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,45,46,46,,0,majority,majority,True,normal_codexrun,29.99,True,False,
1789719077.904943,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,47,48,48,,0,majority,majority,True,normal_codexrun,28.91,True,False,
1789719077.931351,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,49,50,50,,0,majority,majority,True,normal_codexrun,26.4,True,False,
1789719077.953162,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,51,52,52,,0,majority,majority,True,normal_codexrun,21.8,True,False,
1789719077.981247,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,53,54,54,,0,majority,majority,True,normal_codexrun,28.07,True,False,
1789719078.015679,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,55,56,56,,0,majority,majority,True,normal_codexrun,34.42,True,False,
1789719078.036772,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,57,58,58,,0,majority,majority,True,normal_codexrun,21.08,True,False,
1789719078.063921,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27119,59,60,60,,0,majority,majority,True,normal_codexrun,27.14,True,False,
1789719078.085842,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,127.0.0.1:27117,61,62,62,,0,majority,majority,True,normal_codexrun,21.91,True,False,
